UNIQUE_ID,2007,2012,2017
NCA_CT-10047,NA,NA,NA
NCA_CT-10048,NA,NA,NA
NCA_CT-10049,NA,NA,NA
NCA_CT-10050,NA,NA,NA
NCA_CT-10051,NA,NA,NA
NCA_CT-10052,NA,NA,NA
NCA_CT-10053,NA,NA,NA
NCA_CT-10054,NA,NA,NA
NCA_CT-10055,NA,NA,NA
NCA_CT-10056,NA,NA,NA
NCA_CT-10057,NA,NA,NA
NCA_CT-10058,NA,NA,NA
NCA_CT-10059,NA,NA,NA
NCA_CT-10060,NA,NA,NA
NCA_CT-10061,NA,NA,NA
NCA_CT-10062,NA,NA,NA
NCA_CT-10063,NA,NA,NA
NCA_CT-10064,NA,NA,NA
NCA_CT-10065,NA,NA,NA
NCA_CT-10066,NA,NA,NA
NCA_CT-10067,NA,NA,NA
NCA_CT-10068,NA,NA,NA
NCA_CT-10069,NA,NA,NA
NCA_CT-10070,NA,NA,NA
NCA_CT-10071,NA,NA,NA
NCA_CT-10072,NA,NA,NA
NCA_CT-10073,NA,NA,NA
NCA_CT-10074,NA,NA,NA
NCA_CT-10075,NA,NA,NA
NCA_CT-10076,NA,NA,NA
NCA_CT-10077,NA,NA,NA
NCA_CT-10078,NA,NA,NA
NCA_CT-10079,NA,NA,NA
NCA_CT-10080,NA,NA,NA
NCA_CT-10081,NA,NA,NA
NCA_CT-10082,NA,NA,NA
NCA_CT-10083,NA,NA,NA
NCA_CT-10084,NA,NA,NA
NCA_CT-10085,NA,NA,NA
NCA_CT-10200,NA,NA,NA
NCA_CT-10201,NA,NA,NA
NCA_CT-10202,NA,NA,NA
NCA_CT-10203,NA,NA,NA
NCA_CT-10204,NA,NA,NA
NCA_CT-10205,NA,NA,NA
NCA_CT-10206,NA,NA,NA
NCA_CT-10207,NA,NA,NA
NCA_DE-10001,NA,NA,NA
NCA_DE-10002,NA,NA,NA
NCA_DE-10003,NA,NA,NA
NCA_DE-10004,NA,NA,NA
NCA_DE-10005,NA,NA,NA
NCA_DE-10006,NA,NA,NA
NCA_DE-10007,NA,NA,NA
NCA_DE-10008,NA,NA,NA
NCA_DE-10009,NA,NA,NA
NCA_DE-10010,NA,NA,NA
NCA_DE-10011,NA,NA,NA
NCA_DE-10012,NA,NA,NA
NCA_DE-10013,NA,NA,NA
NCA_DE-10014,NA,NA,NA
NCA_DE-10015,NA,NA,NA
NCA_DE-10016,NA,NA,NA
NCA_DE-10017,NA,NA,NA
NCA_DE-10018,NA,NA,NA
NCA_DE-10019,NA,NA,NA
NCA_DE-10020,NA,NA,NA
NCA_DE-10021,NA,NA,NA
NCA_DE-10022,NA,NA,NA
NCA_DE-10023,NA,NA,NA
NCA_DE-10024,NA,NA,NA
NCA_DE-10025,NA,NA,NA
NCA_DE-10026,NA,NA,NA
NCA_DE-10028,NA,NA,NA
NCA_DE-10029,NA,NA,NA
NCA_DE-10030,NA,NA,NA
NCA_DE-10031,NA,NA,NA
NCA_DE-10032,NA,NA,NA
NCA_DE-10033,NA,NA,NA
NCA_DE-10034,NA,NA,NA
NCA_DE-10035,NA,NA,NA
NCA_DE-10036,NA,NA,NA
NCA_DE-10037,NA,NA,NA
NCA_DE-10038,NA,NA,NA
NCA_DE-10039,NA,NA,NA
NCA_DE-10040,NA,NA,NA
NCA_DE-10041,NA,NA,NA
NCA_DE-10042,NA,NA,NA
NCA_DE-10043,NA,NA,NA
NCA_DE-10044,NA,NA,NA
NCA_DE-10045,NA,NA,NA
NCA_DE-10046,NA,NA,NA
NCA_DE-10047,NA,NA,NA
NCA_DE-10048,NA,NA,NA
NCA_DE-10049,NA,NA,NA
NCA_DE-10050,NA,NA,NA
NCA_DE-10051,NA,NA,NA
NCA_DE-10052,NA,NA,NA
NCA_DE-10053,NA,NA,NA
NCA_DE-10054,NA,NA,NA
NCA_DE-10055,NA,NA,NA
NCA_DE-10056,NA,NA,NA
NCA_DE-10058,NA,NA,NA
NCA_DE-10059,NA,NA,NA
NCA_DE-10060,NA,NA,NA
NCA_DE-10061,NA,NA,NA
NCA_DE-10062,NA,NA,NA
NCA_DE-10063,NA,NA,NA
NCA_DE-10064,NA,NA,NA
NCA_DE-10065,NA,NA,NA
NCA_DE-10066,NA,NA,NA
NCA_DE-10067,NA,NA,NA
NCA_DE-10068,NA,NA,NA
NCA_DE-10069,NA,NA,NA
NCA_DE-10070,NA,NA,NA
NCA_DE-10071,NA,NA,NA
NCA_DE-10072,NA,NA,NA
NCA_DE-10073,NA,NA,NA
NCA_DE-10074,NA,NA,NA
NCA_DE-10075,NA,NA,NA
NCA_DE-10076,NA,NA,NA
NCA_DE-10077,NA,NA,NA
NCA_DE-10078,NA,NA,NA
NCA_DE-10079,NA,NA,NA
NCA_DE-10080,NA,NA,NA
NCA_DE-10081,NA,NA,NA
NCA_DE-10082,NA,NA,NA
NCA_DE-10083,NA,NA,NA
NCA_DE-10085,NA,NA,NA
NCA_DE-10086,NA,NA,NA
NCA_DE-10087,NA,NA,NA
NCA_DE-10088,NA,NA,NA
NCA_DE-10089,NA,NA,NA
NCA_DE-10090,NA,NA,NA
NCA_DE-10091,NA,NA,NA
NCA_DE-10093,NA,NA,NA
NCA_DE-10094,NA,NA,NA
NCA_DE-10095,NA,NA,NA
NCA_DE-10096,NA,NA,NA
NCA_DE-10097,NA,NA,NA
NCA_DE-10098,NA,NA,NA
NCA_DE-10099,NA,NA,NA
